step,e1,e2,e5
1,0.13333333,0.16666667,0.13916667
2,0.16666667,0.14166667,0.14062500
3,0.15000000,0.15000000,0.08166667
4,0.15000000,0.13333333,0.13916666
5,0.15833333,0.15833333,0.08812500
6,0.17500000,0.13333333,0.14229167
7,0.17500000,0.18333333,0.11083333
8,0.15000000,0.14166667,0.11750000
9,0.22500000,0.14166667,0.12250000
10,0.19166667,0.14166667,0.11458333
11,0.16666667,0.15833333,0.10229167
12,0.15833333,0.15833333,0.15125000
13,0.15000000,0.17500000,0.14125000
14,0.20000000,0.20833333,0.13479167
15,0.20833333,0.11666667,0.13666666
16,0.17500000,0.15000000,0.17125000
17,0.19166667,0.18333334,0.12041667
18,0.20833333,0.16666667,0.10541666
19,0.14166667,0.14166667,0.14875000
20,0.22500000,0.17500000,0.16791667
21,0.23333333,0.15000000,0.13979167
22,0.19166667,0.20833333,0.16104167
23,0.21666667,0.17500000,0.17791667
24,0.20833333,0.20000000,0.11541667
25,0.16666667,0.19166667,0.15083333
26,0.17500000,0.16666667,0.18895833
27,0.23333333,0.19166667,0.15937500
28,0.20833333,0.22500000,0.16895833
29,0.20000000,0.19166667,0.17416667
30,0.22500000,0.18333333,0.16479167
31,0.20000000,0.22500000,0.20604167
32,0.22500000,0.17500000,0.14729167
33,0.23333333,0.22500000,0.19937500
34,0.17500000,0.20833333,0.15125000
35,0.25833333,0.22500000,
